Title,Price,Date,Processor,Display,Storage,Camera,Battery
"Redmi Note 12 5G (Matte Black,8GB RAM, 256GB Storage)","20,999",2023-08-23, Processor: Snapdragon 4 Gen1 6nm Octa-core ,Display: FHD+ AMOLED (1080x2400) Display with 120Hz Refr," Memory, Storage & SIM: 8GB RAM | 256GB UFS 2.2 stor",        Camera: 48MP AI Triple camera setup with 8MP Ultra Wide sensor and 2MP Macro camera| 1,           Battery: 5000 mAh large battery w
"Redmi Note 12 5G (Matte Black,8GB RAM, 256GB Storage)","20,999",2023-08-23, Processor: Snapdragon 4 Gen1 6nm Octa-core ,Display: FHD+ AMOLED (1080x2400) Display with 120Hz Refr," Memory, Storage & SIM: 8GB RAM | 256GB UFS 2.2 stor",        Camera: 48MP AI Triple camera setup with 8MP Ultra Wide sensor and 2MP Macro camera| 1,           Battery: 5000 mAh large battery w
